1001, 19200, 0, 0, 0
2000, 21781, 0, 0, 0
3000, 15616, 0, 0, 0
4000, 13312, 0, 0, 0
5000, 18176, 0, 0, 0
6000, 19200, 0, 0, 0
7000, 18688, 0, 0, 0
8000, 18688, 0, 0, 0
9000, 18944, 0, 0, 0
10000, 18432, 0, 0, 0
11000, 19712, 0, 0, 0
12000, 18944, 0, 0, 0
13000, 19456, 0, 0, 0
14000, 18706, 0, 0, 0
15000, 19712, 0, 0, 0
16000, 20736, 0, 0, 0
17000, 19200, 0, 0, 0
18000, 19456, 0, 0, 0
19000, 18176, 0, 0, 0
20000, 19968, 0, 0, 0
21000, 20224, 0, 0, 0
22000, 20736, 0, 0, 0
23000, 19968, 0, 0, 0
24000, 19456, 0, 0, 0
25000, 19200, 0, 0, 0
26000, 18706, 0, 0, 0
27000, 18176, 0, 0, 0
28000, 18432, 0, 0, 0
29000, 18944, 0, 0, 0
30000, 19968, 0, 0, 0
31000, 19712, 0, 0, 0
32000, 19200, 0, 0, 0
33000, 18688, 0, 0, 0
34000, 18944, 0, 0, 0
35000, 19456, 0, 0, 0
36000, 18944, 0, 0, 0
37000, 19968, 0, 0, 0
38000, 17152, 0, 0, 0
39000, 19731, 0, 0, 0
40000, 18688, 0, 0, 0
41000, 19968, 0, 0, 0
42000, 18432, 0, 0, 0
43000, 20992, 0, 0, 0
44000, 18176, 0, 0, 0
45000, 19712, 0, 0, 0
46000, 19968, 0, 0, 0
47000, 19712, 0, 0, 0
48000, 18176, 0, 0, 0
49000, 19456, 0, 0, 0
50000, 16640, 0, 0, 0
51000, 19712, 0, 0, 0
52001, 18432, 0, 0, 0
53000, 19219, 0, 0, 0
54000, 19456, 0, 0, 0
55000, 19968, 0, 0, 0
56000, 19200, 0, 0, 0
57000, 19200, 0, 0, 0
58000, 18688, 0, 0, 0
59000, 18688, 0, 0, 0
60000, 18944, 0, 0, 0
61000, 17152, 0, 0, 0
62000, 19968, 0, 0, 0
63000, 18176, 0, 0, 0
64000, 18944, 0, 0, 0
65000, 19200, 0, 0, 0
66001, 16128, 0, 0, 0
67000, 19987, 0, 0, 0
68000, 19968, 0, 0, 0
69000, 19712, 0, 0, 0
70000, 18688, 0, 0, 0
71000, 19968, 0, 0, 0
72000, 19456, 0, 0, 0
73000, 18688, 0, 0, 0
74000, 20224, 0, 0, 0
75000, 19200, 0, 0, 0
76000, 18176, 0, 0, 0
77000, 19712, 0, 0, 0
78000, 19712, 0, 0, 0
79000, 20500, 0, 0, 0
80000, 19968, 0, 0, 0
81000, 19456, 0, 0, 0
82000, 18688, 0, 0, 0
83000, 19200, 0, 0, 0
84000, 19200, 0, 0, 0
85000, 19712, 0, 0, 0
86000, 19968, 0, 0, 0
87000, 19968, 0, 0, 0
88000, 18944, 0, 0, 0
89000, 19200, 0, 0, 0
90000, 19475, 0, 0, 0
91000, 19200, 0, 0, 0
92000, 19712, 0, 0, 0
93000, 18944, 0, 0, 0
94000, 19712, 0, 0, 0
95000, 18432, 0, 0, 0
96000, 18432, 0, 0, 0
97000, 18944, 0, 0, 0
98000, 18432, 0, 0, 0
99000, 19200, 0, 0, 0
100000, 17920, 0, 0, 0
101000, 19987, 0, 0, 0
102000, 19456, 0, 0, 0
103000, 19712, 0, 0, 0
104000, 19968, 0, 0, 0
105000, 19712, 0, 0, 0
106000, 19456, 0, 0, 0
107000, 18944, 0, 0, 0
108000, 19712, 0, 0, 0
109000, 18944, 0, 0, 0
110000, 19200, 0, 0, 0
111000, 19712, 0, 0, 0
112000, 17937, 0, 0, 0
113000, 18688, 0, 0, 0
114000, 19456, 0, 0, 0
115000, 19968, 0, 0, 0
116000, 18944, 0, 0, 0
117000, 17152, 0, 0, 0
118000, 19456, 0, 0, 0
119000, 19200, 0, 0, 0
120000, 20224, 0, 0, 0
121000, 20224, 0, 0, 0
122000, 18688, 0, 0, 0
123001, 18944, 0, 0, 0
124000, 18962, 0, 0, 0
125000, 19200, 0, 0, 0
126000, 18688, 0, 0, 0
127000, 19200, 0, 0, 0
128000, 19456, 0, 0, 0
129000, 17408, 0, 0, 0
130000, 19200, 0, 0, 0
131000, 18944, 0, 0, 0
132000, 19200, 0, 0, 0
133000, 18944, 0, 0, 0
134000, 20224, 0, 0, 0
135000, 18944, 0, 0, 0
136000, 19219, 0, 0, 0
137000, 19456, 0, 0, 0
138000, 18432, 0, 0, 0
139000, 18688, 0, 0, 0
140000, 20736, 0, 0, 0
141000, 19968, 0, 0, 0
142000, 19968, 0, 0, 0
143000, 19456, 0, 0, 0
144000, 16640, 0, 0, 0
145000, 18432, 0, 0, 0
146000, 18688, 0, 0, 0
147000, 19712, 0, 0, 0
148000, 18962, 0, 0, 0
149000, 20224, 0, 0, 0
150000, 19200, 0, 0, 0
151000, 17664, 0, 0, 0
152000, 20224, 0, 0, 0
153000, 18944, 0, 0, 0
154000, 19456, 0, 0, 0
155000, 18688, 0, 0, 0
156000, 19200, 0, 0, 0
157000, 18688, 0, 0, 0
158000, 18176, 0, 0, 0
159000, 19968, 0, 0, 0
160000, 19968, 0, 0, 0
161000, 19475, 0, 0, 0
162000, 19456, 0, 0, 0
163000, 19712, 0, 0, 0
164000, 18688, 0, 0, 0
165000, 19712, 0, 0, 0
166000, 20480, 0, 0, 0
167000, 19200, 0, 0, 0
168000, 20480, 0, 0, 0
